Date,Close,High,Low,Open,Volume
,FF,FF,FF,FF,FF
2011-03-23,2.25,2.36,2.21,2.21,39500
2011-03-24,2.29,2.31,2.25,2.27,50600
2011-03-25,2.30,2.31,2.29,2.29,3800
2011-03-28,2.27,2.31,2.27,2.31,6900
2011-03-29,2.27,2.30,2.25,2.30,6900
2011-03-30,2.39,2.39,2.28,2.29,26200
2011-03-31,2.39,2.39,2.35,2.39,3400
2011-04-01,2.44,2.44,2.42,2.42,2200
2011-04-04,2.48,2.50,2.36,2.46,33100
2011-04-05,2.48,2.49,2.34,2.48,14200
2011-04-06,2.49,2.50,2.48,2.50,13700
2011-04-07,2.53,2.55,2.48,2.52,29300
2011-04-08,2.57,2.57,2.54,2.54,9800
2011-04-11,2.80,2.84,2.57,2.57,21000
2011-04-12,2.80,2.84,2.77,2.82,32300
2011-04-13,2.82,2.83,2.71,2.82,24900
2011-04-14,2.82,2.82,2.80,2.81,25300
2011-04-15,2.76,2.87,2.76,2.83,153900
2011-04-18,2.67,2.76,2.56,2.73,37600
2011-04-19,2.76,2.81,2.69,2.69,19800
2011-04-20,2.80,2.85,2.76,2.84,19500
2011-04-21,2.86,2.86,2.81,2.82,15700
2011-04-25,2.88,2.93,2.88,2.88,29900
2011-04-26,2.89,2.92,2.89,2.89,17700
2011-04-27,2.93,3.10,2.88,2.89,70700
2011-04-28,2.87,2.92,2.87,2.92,7600
2011-04-29,2.82,2.88,2.78,2.88,8900
2011-05-02,2.79,2.80,2.78,2.80,10000
2011-05-03,2.79,2.80,2.77,2.80,11000
2011-05-04,2.81,2.81,2.77,2.79,12000
2011-05-05,2.85,2.86,2.80,2.80,22500
2011-05-06,2.83,2.86,2.83,2.86,9600
2011-05-09,2.79,2.83,2.78,2.81,4100
2011-05-10,2.83,2.83,2.79,2.79,15200
2011-05-11,2.84,2.86,2.80,2.83,6800
2011-05-12,2.86,2.88,2.84,2.86,44000
2011-05-13,2.86,2.88,2.82,2.86,9700
2011-05-16,2.87,2.87,2.82,2.87,7300
2011-05-17,2.87,2.87,2.85,2.85,8300
2011-05-18,2.89,2.89,2.85,2.86,20200
2011-05-19,2.93,2.94,2.86,2.87,18700
2011-05-20,2.88,2.98,2.85,2.87,57500
2011-05-23,2.92,2.92,2.88,2.90,10400
2011-05-24,2.93,2.93,2.92,2.93,1700
2011-05-25,2.95,2.96,2.91,2.92,13500
2011-05-26,2.96,2.96,2.87,2.88,15800
2011-05-27,2.98,2.99,2.96,2.96,12500
2011-05-31,3.05,3.05,2.98,2.98,21200
2011-06-01,3.05,3.06,3.02,3.06,8100
2011-06-02,3.06,3.07,3.04,3.07,23000
2011-06-03,3.03,3.07,3.02,3.03,33500
2011-06-06,2.95,3.06,2.90,3.06,46900
2011-06-07,2.90,2.99,2.68,2.99,42300
2011-06-08,2.93,2.95,2.89,2.92,32700
2011-06-09,2.89,2.93,2.85,2.91,33000
2011-06-10,2.82,2.91,2.74,2.90,477100
2011-06-13,2.88,2.92,2.81,2.85,77500
2011-06-14,2.74,2.87,2.72,2.83,496200
2011-06-15,2.79,2.79,2.74,2.74,45600
2011-06-16,2.79,2.84,2.76,2.81,39900
2011-06-17,2.79,2.81,2.71,2.80,261300
2011-06-20,2.83,2.84,2.76,2.79,57400
2011-06-21,2.79,2.85,2.75,2.83,55300
2011-06-22,2.77,2.83,2.77,2.79,52000
2011-06-23,2.74,2.80,2.64,2.75,156600
2011-06-24,2.68,2.86,2.68,2.74,1791600
2011-06-27,2.71,2.74,2.65,2.71,88800
2011-06-28,2.74,2.74,2.72,2.72,53500
2011-06-29,2.68,2.78,2.67,2.75,49800
2011-06-30,2.71,2.74,2.69,2.70,97600
2011-07-01,2.69,2.72,2.69,2.72,31300
2011-07-05,2.69,2.74,2.68,2.69,25300
2011-07-06,2.71,2.88,2.67,2.72,80300
2011-07-07,2.80,2.83,2.73,2.73,56100
2011-07-08,2.79,2.81,2.76,2.78,22800
2011-07-11,2.80,2.82,2.78,2.79,30200
2011-07-12,2.84,2.87,2.80,2.80,119500
2011-07-13,2.85,2.86,2.84,2.85,112400
2011-07-14,2.81,2.85,2.81,2.85,46000
2011-07-15,2.76,2.81,2.76,2.81,29600
2011-07-18,2.76,2.77,2.67,2.76,58500
2011-07-19,2.79,2.80,2.75,2.77,30500
2011-07-20,2.75,2.81,2.74,2.78,30400
2011-07-21,2.81,2.81,2.76,2.77,14100
2011-07-22,2.79,2.82,2.76,2.82,11600
2011-07-25,2.76,2.81,2.75,2.78,39000
2011-07-26,2.71,2.77,2.69,2.77,33800
