iter	MultiClass
0	1.096047895
1	1.093586147
2	1.091195027
3	1.088922497
4	1.086721319
5	1.084562703
6	1.082506009
7	1.080516318
8	1.078617613
9	1.076692752
10	1.074837465
11	1.073073821
12	1.071430943
13	1.069771726
14	1.068214892
15	1.066723546
16	1.065259147
17	1.063855757
18	1.062485769
19	1.06108172
20	1.059795404
21	1.058502237
22	1.057297684
23	1.056125084
24	1.055010726
25	1.053915276
26	1.052862717
27	1.051759031
28	1.05074027
29	1.049725594
30	1.048771267
31	1.047830908
32	1.046921909
33	1.046021673
34	1.045112609
35	1.044259348
36	1.043458991
37	1.042654221
38	1.041851361
39	1.041062007
40	1.04028807
41	1.039526124
42	1.038795473
43	1.038108042
44	1.037460272
45	1.036756106
46	1.036098784
47	1.035465311
48	1.034849232
49	1.034243232
50	1.03369475
51	1.033129138
52	1.032565304
53	1.032011551
54	1.031482833
55	1.030919197
56	1.030391864
57	1.029891806
58	1.029399654
59	1.028899135
60	1.028434522
61	1.027986908
62	1.027511885
63	1.027033108
64	1.026574096
65	1.026150924
66	1.025712401
67	1.025307809
68	1.024927067
69	1.0245259
70	1.024146871
71	1.023694249
72	1.023337225
73	1.022994036
74	1.022650518
75	1.022277089
76	1.021883301
77	1.021549402
78	1.02119363
79	1.020795889
80	1.020469303
81	1.020147593
82	1.019862975
83	1.019527099
84	1.019215469
85	1.01888941
86	1.018600312
87	1.018306207
88	1.017989767
89	1.017725902
90	1.017452353
91	1.017151659
92	1.016853733
93	1.016566545
94	1.016252938
95	1.01593584
96	1.015611362
97	1.015352505
98	1.015077242
99	1.014822074
100	1.014582718
101	1.01433684
102	1.01407034
103	1.01385826
104	1.013626613
105	1.013370786
106	1.013143751
107	1.012810181
108	1.012584265
109	1.012347413
110	1.012084537
111	1.011864221
112	1.011638965
113	1.011424842
114	1.011202682
115	1.010976503
116	1.010742748
117	1.010499834
118	1.010321091
119	1.010104268
120	1.009918278
121	1.009703826
122	1.009462757
123	1.009246922
124	1.009041826
125	1.008836861
126	1.008549476
127	1.008396626
128	1.008184085
129	1.007997963
130	1.007844981
131	1.007634218
132	1.007429913
133	1.007243198
134	1.007079213
135	1.006909563
136	1.006680814
137	1.006497262
138	1.006305738
139	1.006134308
140	1.005936196
141	1.005768851
142	1.005547481
143	1.005348051
144	1.005144272
145	1.004965464
146	1.004746532
147	1.004561991
148	1.004408219
149	1.00421485
150	1.004028794
151	1.003850908
152	1.003673087
153	1.003501658
154	1.003321729
155	1.003170921
156	1.002989345
157	1.002798612
158	1.002603991
159	1.002479075
160	1.002330244
161	1.002149327
162	1.001974274
163	1.001808115
164	1.001631019
165	1.00144885
166	1.001317873
167	1.001145917
168	1.000970073
169	1.000816761
170	1.000648889
171	1.00049795
172	1.000318416
173	1.000168992
174	1.000040584
175	0.9998596675
176	0.9997240787
177	0.9995263614
178	0.9993125026
179	0.9991175525
180	0.9989709611
181	0.998824699
182	0.9986825877
183	0.9985306597
184	0.9982843202
185	0.9981413524
186	0.9980132743
187	0.9978691205
188	0.9977241762
189	0.9975128869
190	0.9973619471
191	0.997237295
192	0.9970739691
193	0.9969542582
194	0.9967941606
195	0.9966337336
196	0.9964893163
197	0.9963601841
198	0.9961579208
199	0.9960169295
200	0.9958505729
201	0.9956904753
202	0.9955634514
203	0.9954353074
204	0.9953004433
205	0.9951649862
206	0.9949965872
207	0.9948733845
208	0.9947302849
209	0.994615713
210	0.9944362456
211	0.9942909059
212	0.9941634867
213	0.9940371874
214	0.9939057493
215	0.993756259
216	0.9936293009
217	0.9935095242
218	0.9933917898
219	0.9932471749
220	0.9930557825
221	0.9929381799
222	0.9928072688
223	0.9926909839
224	0.9925501903
225	0.9924356842
226	0.9923168958
227	0.9921788033
228	0.992054283
229	0.9919211318
230	0.9918079435
231	0.991643827
232	0.9914868259
233	0.9913231047
234	0.9912220389
235	0.9911234109
236	0.9909917751
237	0.9908406376
238	0.9906670339
239	0.9905340145
240	0.9904109436
241	0.9902825361
242	0.9901385141
243	0.9900105678
244	0.9898910546
245	0.9897695649
246	0.989649261
247	0.9895314608
248	0.9894097735
249	0.9892763588
250	0.9891744366
251	0.9890460949
252	0.9889163698
253	0.9887884893
254	0.9886774751
255	0.9885345732
256	0.9884049798
257	0.9882701156
258	0.9881262254
259	0.9879851682
260	0.9878760647
261	0.9877576715
262	0.9875696392
263	0.9874315467
264	0.9873057087
265	0.987193311
266	0.9870457971
267	0.9869498703
268	0.986824757
269	0.9867016861
270	0.98652828
271	0.9863664694
272	0.9862575635
273	0.9861294854
274	0.9860416623
275	0.9859367753
276	0.9857849131
277	0.9856731083
278	0.9855555058
279	0.9854195216
280	0.9852982296
281	0.985213503
282	0.9850962299
283	0.9849891687
284	0.984927765
285	0.984845015
286	0.984731036
287	0.9846045391
288	0.9844599242
289	0.9843275637
290	0.9841600871
291	0.9840020977
292	0.9839173712
293	0.9838351482
294	0.9837315789
295	0.9836276802
296	0.9835077058
297	0.9834017646
298	0.9833014236
299	0.9831659007
300	0.9830715551
301	0.9829673269
302	0.9828507126
303	0.9827593977
304	0.9826321102
305	0.9825191854
306	0.98240659
307	0.9822398381
308	0.9821170966
309	0.981921817
310	0.9817844493
311	0.9816665173
312	0.9815221659
313	0.9814412606
314	0.9812659439
315	0.9810932625
316	0.9809810624
317	0.9808867168
318	0.9807803803
319	0.9806688391
320	0.9805907668
