iter	Passed	Remaining
0	79	47822
1	134	40284
2	176	35192
3	213	31742
4	251	29879
5	289	28631
6	327	27756
7	361	26734
8	422	27727
9	463	27329
10	501	26855
11	537	26342
12	570	25773
13	625	26165
14	659	25724
15	705	25751
16	757	25987
17	819	26494
18	864	26442
19	901	26137
20	936	25822
21	992	26086
22	1059	26580
23	1093	26247
24	1131	26025
25	1164	25715
26	1200	25470
27	1241	25360
28	1323	26055
29	1366	25970
30	1401	25720
31	1433	25446
32	1468	25240
33	1504	25050
34	1554	25091
35	1594	24983
36	1642	24997
37	1709	25285
38	1747	25136
39	1781	24934
40	1820	24823
41	1855	24656
42	1915	24810
43	1948	24626
44	1979	24415
45	2035	24511
46	2109	24822
47	2141	24626
48	2175	24461
49	2211	24322
50	2252	24242
51	2284	24076
52	2319	23934
53	2352	23788
54	2453	24309
55	2488	24174
56	2520	24012
57	2554	23872
58	2588	23734
59	2623	23613
60	2661	23520
61	2701	23439
62	2747	23422
63	2793	23392
64	2826	23266
65	2884	23341
66	2949	23466
67	3016	23601
68	3077	23681
69	3108	23534
70	3145	23437
71	3185	23358
72	3214	23203
73	3244	23060
74	3286	23002
75	3320	22892
76	3355	22789
77	3443	23044
78	3484	22981
79	3527	22929
80	3576	22915
81	3607	22791
82	3639	22669
83	3675	22578
84	3706	22455
85	3738	22344
86	3831	22594
87	3886	22614
88	3916	22489
89	3951	22389
90	3992	22329
91	4028	22242
92	4067	22172
93	4106	22104
94	4158	22104
95	4194	22019
96	4228	21926
97	4262	21834
98	4297	21750
99	4332	21660
100	4388	21682
101	4420	21582
102	4469	21564
103	4502	21474
104	4537	21390
105	4566	21282
106	4603	21208
107	4638	21129
108	4697	21162
109	4752	21169
110	4784	21078
111	4920	21438
112	4950	21334
113	4984	21248
114	5022	21181
115	5073	21170
116	5117	21125
117	5152	21044
118	5187	20966
119	5222	20888
120	5255	20803
121	5294	20742
122	5335	20690
123	5371	20617
124	5405	20542
125	5443	20479
126	5483	20422
127	5512	20327
128	5545	20246
129	5584	20191
130	5616	20106
131	5655	20050
132	5689	19976
133	5718	19887
134	5750	19808
135	5789	19753
136	5829	19702
137	5862	19625
138	5900	19569
139	5933	19494
140	5966	19422
141	5999	19349
142	6031	19274
143	6063	19200
144	6094	19123
145	6125	19047
146	6159	18980
147	6189	18902
148	6225	18843
149	6260	18781
150	6295	18721
151	6329	18654
152	6362	18589
153	6393	18515
154	6429	18458
155	6459	18385
156	6494	18325
157	6529	18266
158	6560	18195
159	6599	18149
160	6630	18079
161	6669	18031
162	6703	17970
163	6732	17897
164	6768	17845
165	6804	17790
166	6834	17721
167	6865	17654
168	6902	17604
169	6940	17554
170	6975	17500
171	7004	17430
172	7034	17362
173	7063	17292
174	7092	17225
175	7128	17173
176	7161	17114
177	7195	17058
178	7221	16984
179	7264	16950
180	7295	16889
181	7329	16832
182	7367	16788
183	7398	16728
184	7433	16675
185	7462	16608
186	7496	16555
187	7527	16495
188	7566	16454
189	7598	16397
190	7626	16331
191	7659	16275
192	7691	16219
193	7720	16156
194	7746	16088
195	7782	16042
196	7818	15993
197	7856	15950
198	7888	15896
199	7925	15851
200	7957	15796
201	7986	15736
202	8020	15685
203	8048	15624
204	8086	15580
205	8119	15530
206	8151	15476
207	8184	15424
208	8216	15372
209	8246	15314
210	8277	15260
211	8305	15199
212	8344	15161
213	8375	15108
214	8401	15044
215	8430	14987
216	8469	14948
217	8497	14890
218	8534	14847
219	8558	14783
220	8593	14736
221	8624	14685
222	8651	14626
223	8678	14566
224	8703	14506
225	8730	14447
226	8769	14409
227	8812	14377
228	8843	14327
229	8877	14281
230	8905	14225
231	8940	14181
232	8971	14131
233	9006	14087
234	9035	14033
235	9065	13982
236	9093	13928
237	9130	13886
238	9158	13833
239	9195	13793
240	9231	13751
241	9263	13703
242	9295	13657
243	9328	13610
244	9362	13566
245	9391	13514
246	9431	13478
247	9460	13427
248	9495	13385
249	9522	13331
250	9557	13288
251	9585	13237
252	9609	13180
253	9637	13128
254	9666	13078
255	9705	13042
256	9734	12991
257	9770	12952
258	9807	12913
259	9845	12874
260	9873	12824
261	9903	12775
262	9939	12735
263	9977	12698
264	10008	12651
265	10042	12610
266	10079	12570
267	10110	12524
268	10143	12481
269	10180	12442
270	10216	12402
271	10247	12357
272	10276	12309
273	10308	12265
274	10338	12218
275	10368	12171
276	10399	12126
277	10432	12083
278	10465	12040
279	10505	12006
280	10538	11963
281	10570	11920
282	10600	11874
283	10640	11838
284	10666	11789
285	10696	11743
286	10730	11702
287	10760	11656
288	10791	11612
289	10830	11577
290	10862	11534
291	10890	11487
292	10924	11446
293	10950	11397
294	10977	11349
295	11012	11310
296	11039	11263
297	11075	11223
298	11109	11184
299	11139	11139
300	11173	11099
301	11202	11053
302	11231	11009
303	11264	10968
304	11304	10933
305	11337	10893
306	11370	10852
307	11403	10810
308	11431	10765
309	11464	10724
310	11498	10685
311	11528	10641
312	11562	10601
313	11590	10556
314	11617	10510
315	11657	10477
316	11692	10438
317	11719	10393
318	11751	10351
319	11785	10311
320	11816	10270
321	11858	10237
322	11892	10199
323	11922	10156
324	11961	10121
325	11999	10085
326	12031	10044
327	12071	10010
328	12106	9971
329	12130	9925
330	12161	9883
331	12193	9842
332	12228	9804
333	12255	9760
334	12286	9719
335	12326	9685
336	12360	9646
337	12395	9608
338	12432	9571
339	12463	9531
340	12500	9494
341	12528	9451
342	12555	9407
343	12586	9366
344	12617	9325
345	12648	9285
346	12679	9244
347	12716	9208
348	12757	9175
349	12787	9134
350	12823	9097
351	12872	9069
352	12904	9029
353	12943	8994
354	12975	8954
355	13013	8919
356	13043	8878
357	13075	8838
358	13111	8801
359	13143	8762
360	13171	8719
361	13200	8678
362	13233	8640
363	13261	8598
364	13295	8560
365	13329	8522
366	13361	8483
367	13389	8441
368	13421	8402
369	13451	8361
370	13484	8323
371	13522	8288
372	13559	8252
373	13599	8217
374	13628	8177
375	13658	8136
376	13688	8096
377	13717	8056
378	13747	8016
379	13775	7975
380	13808	7937
381	13840	7898
382	13877	7862
383	13915	7827
384	13947	7788
385	13983	7752
386	14014	7713
387	14049	7676
388	14080	7637
389	14107	7596
390	14140	7558
391	14168	7517
392	14198	7478
393	14232	7441
394	14270	7406
395	14300	7367
396	14330	7327
397	14362	7289
398	14395	7251
399	14426	7213
400	14455	7173
401	14485	7134
402	14521	7098
403	14548	7058
404	14579	7019
405	14614	6983
406	14651	6947
407	14679	6908
408	14716	6872
409	14746	6833
410	14780	6796
411	14811	6758
412	14841	6719
413	14872	6681
414	14909	6646
415	14944	6610
416	14974	6571
417	15004	6533
418	15033	6494
419	15066	6457
420	15098	6419
421	15127	6380
422	15160	6343
423	15189	6305
424	15217	6266
425	15254	6230
426	15282	6191
427	15314	6154
428	15350	6118
429	15382	6081
430	15415	6044
431	15448	6007
432	15491	5974
433	15518	5935
434	15550	5898
435	15587	5863
436	15617	5825
437	15649	5788
438	15683	5751
439	15719	5716
440	15757	5681
441	15793	5645
442	15839	5613
443	15867	5575
444	15896	5536
445	15929	5500
446	15960	5462
447	15994	5426
448	16027	5389
449	16057	5352
450	16084	5314
451	16120	5278
452	16149	5240
453	16180	5203
454	16213	5167
455	16249	5131
456	16276	5093
457	16309	5056
458	16338	5019
459	16373	4983
460	16403	4945
461	16434	4909
462	16465	4872
463	16491	4833
464	16521	4796
465	16559	4761
466	16588	4724
467	16619	4687
468	16658	4653
469	16689	4616
470	16722	4579
471	16751	4542
472	16786	4507
473	16814	4469
474	16846	4433
475	16885	4398
476	16923	4363
477	16952	4326
478	16982	4289
479	17017	4254
480	17047	4217
481	17075	4180
482	17106	4143
483	17135	4106
484	17169	4071
485	17199	4034
486	17239	4000
487	17269	3963
488	17308	3928
489	17335	3891
490	17371	3856
491	17405	3820
492	17440	3785
493	17474	3749
494	17506	3713
495	17538	3677
496	17567	3640
497	17599	3604
498	17629	3568
499	17664	3532
500	17695	3496
501	17728	3461
502	17761	3425
503	17795	3389
504	17823	3352
505	17855	3317
506	17891	3281
507	17919	3245
508	17951	3209
509	17983	3173
510	18012	3137
511	18044	3101
512	18079	3066
513	18112	3030
514	18144	2994
515	18171	2958
516	18198	2921
517	18230	2885
518	18257	2849
519	18290	2813
520	18324	2778
521	18357	2743
522	18390	2707
523	18422	2672
524	18454	2636
525	18495	2601
526	18527	2566
527	18558	2530
528	18592	2495
529	18624	2459
530	18665	2425
531	18696	2389
532	18733	2354
533	18762	2318
534	18796	2283
535	18833	2248
536	18859	2212
537	18897	2177
538	18925	2141
539	18957	2106
540	18991	2071
541	19027	2036
542	19057	2000
543	19094	1965
544	19128	1930
545	19161	1895
546	19190	1859
547	19219	1823
548	19246	1787
549	19274	1752
550	19302	1716
551	19333	1681
552	19364	1645
553	19398	1610
554	19431	1575
555	19464	1540
556	19503	1505
557	19533	1470
558	19561	1434
559	19589	1399
560	19624	1364
561	19660	1329
562	19686	1293
563	19722	1258
564	19752	1223
565	19790	1188
566	19822	1153
567	19859	1118
568	19895	1083
569	19928	1048
570	19963	1013
571	20001	979
572	20035	944
573	20077	909
574	20113	874
575	20147	839
576	20177	804
577	20209	769
578	20244	734
579	20280	699
580	20322	664
581	20359	629
582	20391	594
583	20419	559
584	20446	524
585	20478	489
586	20511	454
587	20544	419
588	20574	384
589	20615	349
590	20643	314
591	20677	279
592	20708	244
593	20744	209
594	20774	174
595	20808	139
596	20840	104
597	20874	69
598	20906	34
599	20940	0
