iter	MultiClass
0	1.029495039
1	0.9695031309
2	0.9170349737
3	0.8705772191
4	0.8292607853
5	0.7921108746
6	0.7586186986
7	0.7284031251
8	0.7010139973
9	0.6761674999
10	0.653504232
11	0.6326911949
12	0.6135446201
13	0.5960482357
14	0.5798298852
15	0.5650309777
16	0.5513109035
17	0.5387002644
18	0.5270099379
19	0.5162642795
20	0.5062895462
21	0.4968548332
22	0.4882941364
23	0.4800326343
24	0.4728231429
25	0.4658816146
26	0.4596105975
27	0.453744963
28	0.4480923867
29	0.4428604153
30	0.438139017
31	0.4335531487
32	0.4291859289
33	0.4252527513
34	0.4216147006
35	0.4182428806
36	0.41503756
37	0.4121401737
38	0.409247774
39	0.4067175574
40	0.4042300942
41	0.4021092233
42	0.3995535752
43	0.3974792894
44	0.3953560565
45	0.3932452637
46	0.3909824852
47	0.389154379
48	0.3874075541
49	0.3856358749
50	0.3840609032
51	0.3827344994
52	0.3816136476
53	0.3799368447
54	0.3786344027
55	0.377623938
56	0.376510881
57	0.3751229323
58	0.3739699039
59	0.3729704622
60	0.3719703644
61	0.3710619934
62	0.3701300279
63	0.3694451344
64	0.3686796945
65	0.3678954893
66	0.3670611033
67	0.366276137
68	0.3654333526
69	0.3645571582
70	0.3639411582
71	0.3633059729
72	0.3624593305
73	0.3617406595
74	0.3610493359
75	0.3604131008
76	0.3596706254
77	0.3588693346
78	0.3582301601
79	0.3573580599
80	0.3567311419
81	0.3561941661
82	0.3556653
83	0.3552356405
84	0.3547352504
85	0.3543389749
86	0.3536492784
87	0.353043724
88	0.3521105251
89	0.3512675832
90	0.3507546479
91	0.3503200807
92	0.3496891471
93	0.3490772939
94	0.3486264021
95	0.3481567451
96	0.3477344606
97	0.3468694203
98	0.3463058581
99	0.3459309723
100	0.3454308971
101	0.3448858115
102	0.3443910641
103	0.3440019272
104	0.3434343758
105	0.3430347671
106	0.3424659033
107	0.342058946
108	0.3415708386
109	0.3410947253
110	0.3406298449
111	0.3400869114
112	0.3397729931
113	0.3394070569
114	0.3388040745
115	0.3379087998
116	0.3372755042
117	0.3369606936
118	0.3364443202
119	0.3359830878
120	0.3355943184
121	0.3350050884
122	0.3345623064
123	0.3339470938
124	0.3335008999
125	0.3332640636
126	0.3329336109
127	0.3326320016
128	0.3320301215
129	0.3317207436
130	0.3314363773
131	0.3312009058
132	0.3308618184
133	0.3305293448
134	0.3297449034
135	0.3292970561
136	0.3289188634
137	0.3286641017
138	0.3281032953
139	0.3279354313
140	0.3275768437
141	0.327308592
142	0.326861532
143	0.3264617134
144	0.3260706081
145	0.3254840814
146	0.3249865782
147	0.3246934199
148	0.324365093
149	0.3238636531
150	0.3236109122
151	0.3231536954
152	0.3227971025
153	0.3223700676
154	0.3221355671
155	0.3215442901
156	0.3211006945
157	0.3208722042
158	0.3205093649
159	0.320262188
160	0.3198587475
161	0.3192914585
162	0.3188257908
163	0.318245038
164	0.3180942333
165	0.3178310994
166	0.3175073129
167	0.3171826079
168	0.3168583753
169	0.3162891704
170	0.3159566443
171	0.3157753165
172	0.3156022822
173	0.3152972873
174	0.3150361742
175	0.3146496618
176	0.3143158235
177	0.313899969
178	0.3136103012
179	0.3133001623
180	0.3130871041
181	0.3126498336
182	0.3123246824
183	0.3121040919
184	0.3116229132
185	0.311352037
186	0.3109074178
187	0.3105452084
188	0.3103490522
189	0.3100975711
190	0.3097452299
191	0.3095817226
192	0.3093884533
193	0.3089774542
194	0.3085423882
195	0.3083442111
196	0.3080911815
197	0.3079516098
198	0.3077507032
199	0.3075700578
