iter	Passed	Remaining
0	89	17811
1	184	18292
2	271	17838
3	361	17735
4	459	17904
5	563	18227
6	652	17992
7	744	17864
8	832	17657
9	926	17598
10	1011	17384
11	1109	17374
12	1193	17167
13	1298	17254
14	1380	17027
15	1461	16805
16	1556	16753
17	1648	16669
18	1744	16618
19	1829	16461
20	1921	16380
21	2010	16265
22	2102	16181
23	2202	16155
24	2301	16110
25	2384	15958
26	2474	15852
27	2555	15697
28	2649	15623
29	2732	15482
30	2823	15394
31	2916	15309
32	3007	15220
33	3091	15095
34	3187	15026
35	3273	14910
36	3368	14839
37	3449	14704
38	3522	14542
39	3601	14404
40	3682	14279
41	3768	14178
42	3866	14117
43	3951	14011
44	4040	13917
45	4136	13849
46	4218	13732
47	4299	13616
48	4385	13514
49	4470	13410
50	4569	13350
51	4651	13240
52	4734	13131
53	4825	13047
54	4912	12951
55	5002	12862
56	5091	12774
57	5164	12643
58	5250	12547
59	5326	12428
60	5409	12325
61	5488	12217
62	5589	12155
63	5672	12054
64	5762	11967
65	5851	11880
66	5932	11777
67	6018	11682
68	6099	11580
69	6189	11495
70	6291	11431
71	6380	11343
72	6484	11281
73	6566	11180
74	6653	11088
75	6740	10997
76	6841	10929
77	6924	10831
78	7008	10735
79	7097	10645
80	7189	10561
81	7280	10476
82	7356	10370
83	7439	10273
84	7534	10193
85	7621	10102
86	7714	10019
87	7808	9938
88	7914	9871
89	7998	9776
90	8091	9692
91	8181	9604
92	8264	9508
93	8357	9423
94	8443	9332
95	8530	9241
96	8625	9159
97	8717	9073
98	8818	8996
99	8907	8907
100	8999	8821
101	9080	8724
102	9171	8637
103	9269	8556
104	9353	8463
105	9453	8382
106	9521	8275
107	9624	8198
108	9703	8101
109	9773	7996
110	9855	7902
111	9936	7806
112	10012	7708
113	10114	7630
114	10218	7552
115	10304	7461
116	10394	7374
117	10489	7289
118	10589	7207
119	10692	7128
120	10781	7039
121	10860	6943
122	10945	6852
123	11049	6772
124	11133	6680
125	11232	6596
126	11320	6507
127	11404	6414
128	11494	6326
129	11600	6246
130	11682	6153
131	11772	6064
132	11861	5975
133	11938	5880
134	12021	5787
135	12121	5704
136	12203	5611
137	12299	5525
138	12393	5439
139	12473	5345
140	12569	5259
141	12671	5175
142	12765	5088
143	12860	5001
144	12949	4911
145	13032	4820
146	13111	4727
147	13190	4634
148	13282	4546
149	13379	4459
150	13465	4369
151	13558	4281
152	13655	4194
153	13748	4106
154	13839	4017
155	13941	3932
156	14007	3836
157	14082	3743
158	14173	3654
159	14271	3567
160	14359	3478
161	14435	3386
162	14503	3292
163	14595	3203
164	14685	3115
165	14784	3028
166	14867	2937
167	14944	2846
168	15029	2756
169	15107	2665
170	15180	2574
171	15272	2486
172	15362	2397
173	15452	2308
174	15553	2221
175	15646	2133
176	15724	2043
177	15817	1954
178	15913	1866
179	16001	1777
180	16094	1689
181	16193	1601
182	16274	1511
183	16369	1423
184	16469	1335
185	16549	1245
186	16638	1156
187	16735	1068
188	16813	978
189	16911	890
190	17008	801
191	17106	712
192	17205	624
193	17279	534
194	17369	445
195	17450	356
196	17553	267
197	17640	178
198	17724	89
199	17816	0
