iter	MultiClass
0	1.077058862
1	1.058064046
2	1.041184255
3	1.026188444
4	1.012985825
5	1.001123162
6	0.9900371951
7	0.979862786
8	0.9709563739
9	0.9626843675
10	0.9549635092
11	0.9482269823
12	0.9420191097
13	0.9360464548
14	0.9303912572
15	0.925215757
16	0.920610947
17	0.9162919402
18	0.9122857087
19	0.9083925567
20	0.9050814946
21	0.9017234093
22	0.8985664448
23	0.8956206773
24	0.8928648346
25	0.8902016134
26	0.8876724386
27	0.8855430626
28	0.8834330252
29	0.8814781031
30	0.8795827233
31	0.8779095331
32	0.8763100329
33	0.8748471238
34	0.8733553087
35	0.8720288889
36	0.8707744288
37	0.8695022587
38	0.8683945679
39	0.8674335447
40	0.8664343532
41	0.8656428983
42	0.8646770913
43	0.8638170355
44	0.863033316
45	0.8621949397
46	0.8615325441
47	0.8609087238
48	0.8602814428
49	0.8596465283
50	0.858966728
51	0.8584100836
52	0.8578138461
53	0.8572449879
54	0.8567139925
55	0.8561612158
56	0.8556719509
57	0.8552620758
58	0.8548116915
59	0.8543898062
60	0.8539457324
61	0.8535400304
62	0.8531151424
63	0.8526589566
64	0.8522537126
65	0.8518019543
66	0.8513930461
67	0.851034469
68	0.8506885128
69	0.8503198593
70	0.8500289671
71	0.8496604154
72	0.8493412787
73	0.8490061623
74	0.8486826999
75	0.8483931817
76	0.8481141979
77	0.8478143998
78	0.8475309376
79	0.8472456942
80	0.8468958195
81	0.8466317976
82	0.8462934751
83	0.8460109798
84	0.8457930651
85	0.8454750989
86	0.8452059371
87	0.844930821
88	0.844695298
89	0.8443911232
90	0.8441638955
91	0.8439855739
92	0.8437048089
93	0.843423535
94	0.8432106076
95	0.8429480616
96	0.8426620549
97	0.8423455136
98	0.8421347745
99	0.841950804
100	0.8416471381
101	0.8414158391
102	0.841196703
103	0.8410299845
104	0.8407866752
105	0.8404884547
106	0.8403300314
107	0.8401032108
108	0.8398700288
109	0.8396590861
110	0.8393949116
111	0.8391667678
112	0.8389070207
113	0.8387100731
114	0.8385093594
115	0.8383227426
116	0.8381171944
117	0.8379495089
118	0.8376779043
119	0.8375011094
120	0.8373460449
121	0.8371628378
122	0.8369876205
123	0.8367600365
124	0.8365090936
125	0.8363146396
126	0.8360906179
127	0.8359399809
128	0.8357016081
129	0.8354890369
130	0.835234837
131	0.835075345
132	0.8349209929
133	0.8347045032
134	0.8344236873
135	0.834226078
136	0.8340224636
137	0.8338673483
138	0.8337012404
139	0.8335222572
140	0.8332887699
141	0.8329857656
142	0.832858742
143	0.8327008276
144	0.8324888162
145	0.8322870848
146	0.8320932923
147	0.8319541567
148	0.8317813313
149	0.8316400073
150	0.8314543574
151	0.8313131861
152	0.831161226
153	0.8309587821
154	0.8307734884
155	0.830651503
156	0.8304982196
157	0.8303830536
158	0.8301148078
159	0.8299045776
160	0.8297758237
161	0.829612922
162	0.8294283917
163	0.8293164826
164	0.8291323085
165	0.8289249791
166	0.8287075224
167	0.8285793283
168	0.828398971
169	0.828190522
170	0.8279577471
171	0.8277694509
172	0.827598254
173	0.8274257848
174	0.8273109241
175	0.8271552998
176	0.8269074104
177	0.8267569769
178	0.8266018615
179	0.8264531075
180	0.8262992644
181	0.8261542763
182	0.8259555983
183	0.8258292363
184	0.8255828736
185	0.825465163
186	0.8252457724
187	0.8251033797
188	0.8249712161
189	0.8247357949
190	0.8245575242
191	0.8244386431
192	0.8242411356
193	0.8241076997
194	0.8239683605
195	0.8237798607
196	0.8235895797
197	0.8233274408
198	0.8231980254
199	0.8230693223
