iter	Passed	Remaining
0	237	47345
1	427	42306
2	637	41870
3	850	41674
4	1105	43122
5	1356	43866
6	1566	43181
7	1774	42589
8	1980	42034
9	2215	42102
10	2419	41564
11	2649	41504
12	2888	41553
13	3110	41325
14	3329	41060
15	3542	40742
16	3754	40418
17	3991	40363
18	4206	40075
19	4442	39978
20	4679	39883
21	4916	39777
22	5160	39710
23	5422	39766
24	5666	39665
25	5912	39571
26	6150	39409
27	6369	39124
28	6626	39070
29	6879	38982
30	7150	38979
31	7390	38797
32	7640	38666
33	7870	38427
34	8139	38370
35	8399	38263
36	8657	38138
37	8892	37909
38	9154	37792
39	9400	37602
40	9669	37500
41	9889	37204
42	10132	36996
43	10394	36851
44	10632	36623
45	10867	36382
46	11103	36146
47	11340	35912
48	11582	35692
49	11812	35437
50	12068	35257
51	12305	35024
52	12558	34831
53	12801	34612
54	13016	34317
55	13257	34091
56	13475	33806
57	13688	33513
58	13944	33325
59	14141	32996
60	14364	32732
61	14601	32500
62	14826	32241
63	15071	32027
64	15303	31784
65	15541	31553
66	15767	31299
67	15985	31031
68	16224	30802
69	16433	30519
70	16608	30176
71	16834	29927
72	17020	29610
73	17244	29362
74	17467	29112
75	17679	28846
76	17900	28593
77	18104	28317
78	18323	28064
79	18538	27807
80	18790	27605
81	18997	27337
82	19217	27089
83	19437	26842
84	19609	26530
85	19815	26266
86	20047	26038
87	20255	25780
88	20492	25558
89	20746	25356
90	20941	25083
91	21143	24820
92	21416	24640
93	21658	24423
94	21830	24128
95	22107	23949
96	22341	23723
97	22576	23498
98	22779	23240
99	22973	22973
100	23146	22688
101	23383	22466
102	23588	22214
103	23803	21972
104	24027	21739
105	24251	21505
106	24450	21251
107	24718	21056
108	24959	20837
109	25150	20577
110	25320	20301
111	25563	20085
112	25793	19858
113	26017	19626
114	26247	19400
115	26474	19171
116	26654	18908
117	26872	18674
118	27088	18438
119	27280	18187
120	27447	17920
121	27684	17699
122	27870	17447
123	28065	17201
124	28284	16970
125	28520	16750
126	28715	16505
127	28900	16256
128	29144	16040
129	29370	15814
130	29567	15573
131	29772	15337
132	29963	15094
133	30155	14852
134	30382	14628
135	30561	14381
136	30744	14138
137	30970	13914
138	31207	13695
139	31427	13468
140	31642	13240
141	31865	13015
142	32065	12781
143	32308	12564
144	32522	12336
145	32722	12102
146	32918	11868
147	33127	11639
148	33331	11408
149	33540	11180
150	33737	10947
151	33963	10725
152	34200	10506
153	34390	10272
154	34564	10034
155	34788	9812
156	35041	9597
157	35256	9371
158	35497	9153
159	35723	8930
160	35963	8711
161	36151	8480
162	36320	8244
163	36555	8024
164	36745	7794
165	36932	7564
166	37190	7348
167	37410	7125
168	37634	6903
169	37878	6684
170	38104	6462
171	38312	6236
172	38507	6009
173	38716	5785
174	38932	5561
175	39162	5340
176	39404	5120
177	39571	4890
178	39765	4665
179	39944	4438
180	40126	4212
181	40400	3995
182	40624	3773
183	40819	3549
184	41026	3326
185	41251	3104
186	41465	2882
187	41705	2662
188	41877	2437
189	42080	2214
190	42311	1993
191	42538	1772
192	42761	1550
193	43014	1330
194	43165	1106
195	43427	886
196	43633	664
197	43869	443
198	44102	221
199	44322	0
