Date,Close,High,Low,Open,Volume
,A,A,A,A,A
2005-10-20,18.45,18.92,18.38,18.68,3658426
2005-10-21,18.62,18.79,18.40,18.50,3116422
2005-10-24,18.66,18.84,18.54,18.62,2351995
2005-10-25,18.67,18.80,18.53,18.62,3410281
2005-10-26,18.56,18.83,18.54,18.62,2405119
2005-10-27,18.31,18.53,18.28,18.44,1791817
2005-10-28,18.56,18.59,17.95,18.35,3328219
2005-10-31,19.17,19.25,18.53,18.56,4258588
2005-11-01,19.24,19.45,19.10,19.17,2686537
2005-11-02,19.57,19.68,19.20,19.22,2457684
2005-11-03,19.58,19.77,19.52,19.63,2087214
2005-11-04,19.64,19.76,19.55,19.56,2857652
2005-11-07,19.70,19.73,19.45,19.52,2348500
2005-11-08,19.74,19.82,19.59,19.59,6345662
2005-11-09,19.78,19.87,19.65,19.70,4411808
2005-11-10,19.78,19.86,19.69,19.78,3984999
2005-11-11,19.72,19.78,19.58,19.62,3149414
2005-11-14,19.70,19.93,19.63,19.64,4946264
2005-11-15,20.66,20.93,20.61,20.84,21852138
2005-11-16,20.51,20.72,20.46,20.51,5939543
2005-11-17,20.81,20.83,20.45,20.48,8188645
2005-11-18,20.90,20.93,20.71,20.83,6885150
2005-11-21,20.95,21.01,20.71,20.72,5693355
2005-11-22,21.30,21.44,20.87,20.87,5379364
2005-11-23,21.35,21.43,21.23,21.23,3512195
2005-11-25,21.37,21.42,21.32,21.35,1500613
2005-11-28,21.35,21.35,21.21,21.32,4608507
2005-11-29,21.25,21.44,21.22,21.32,4499743
2005-11-30,21.35,21.42,21.20,21.20,3478504
2005-12-01,21.54,21.62,21.32,21.35,5534822
2005-12-02,21.25,21.46,21.07,21.44,8079042
2005-12-05,20.96,21.44,20.88,21.26,7176633
2005-12-06,20.92,21.05,20.86,20.96,9519681
2005-12-07,20.65,20.96,20.59,20.96,8032628
2005-12-08,20.71,20.78,20.45,20.69,7928058
2005-12-09,21.12,21.17,20.75,20.78,12569837
2005-12-12,21.35,21.47,21.10,21.10,12084452
2005-12-13,21.54,21.56,21.32,21.34,17491496
2005-12-14,21.28,21.56,21.20,21.53,20195927
2005-12-15,21.08,21.31,21.07,21.26,3683311
2005-12-16,21.14,21.22,21.12,21.19,4575235
2005-12-19,20.99,21.26,20.95,21.09,4719788
2005-12-20,20.85,20.99,20.66,20.96,4113056
2005-12-21,20.87,21.18,20.87,20.95,5887537
2005-12-22,21.00,21.03,20.84,20.87,4178203
2005-12-23,20.90,21.05,20.84,20.96,1786364
2005-12-27,20.35,20.87,20.32,20.84,2991021
2005-12-28,20.30,20.51,20.12,20.48,3903496
2005-12-29,20.04,20.37,20.04,20.36,3034219
2005-12-30,19.93,20.04,19.81,19.93,3244618
2006-01-03,20.06,20.11,19.65,20.00,5307088
2006-01-04,20.11,20.26,19.98,20.09,4195817
2006-01-05,20.64,20.64,20.03,20.03,4835402
2006-01-06,20.75,20.83,20.41,20.66,6146307
2006-01-09,20.69,20.84,20.61,20.75,4082859
2006-01-10,20.96,20.96,20.42,20.51,3010873
2006-01-11,20.95,21.01,20.72,20.96,2874987
2006-01-12,20.49,20.87,20.47,20.81,5484354
2006-01-13,20.34,20.51,20.11,20.44,4101592
2006-01-17,20.22,20.22,19.94,20.16,3496678
2006-01-18,20.63,20.71,20.01,20.20,3948791
2006-01-19,20.96,21.11,20.65,20.66,4376159
2006-01-20,20.51,20.96,20.36,20.87,5196646
2006-01-23,20.51,20.71,20.44,20.48,2203108
2006-01-24,20.55,20.69,20.45,20.51,2460760
2006-01-25,20.52,20.59,20.45,20.56,1933434
2006-01-26,20.42,20.65,20.17,20.62,3194570
2006-01-27,20.44,20.66,20.41,20.42,2827315
2006-01-30,20.60,20.64,20.42,20.42,1832638
2006-01-31,20.31,20.55,20.31,20.51,4088311
2006-02-01,20.93,20.96,20.23,20.23,4049027
2006-02-02,20.52,20.84,20.36,20.66,2170675
2006-02-03,20.56,20.71,20.38,20.45,1999979
2006-02-06,20.80,20.95,20.44,20.52,2263082
2006-02-07,20.36,20.77,20.07,20.69,3002065
2006-02-08,20.68,20.71,20.39,20.39,2496269
2006-02-09,21.04,21.20,20.93,20.93,6363137
2006-02-10,21.48,21.48,20.96,20.96,7803636
2006-02-13,20.63,21.15,20.37,21.08,8885408
2006-02-14,20.84,21.10,20.56,20.71,5104098
2006-02-15,20.95,21.02,20.42,20.69,4798216
2006-02-16,20.83,21.08,20.78,20.89,3285719
2006-02-17,20.95,21.04,20.68,20.72,4504915
2006-02-21,21.04,21.17,20.91,20.92,4502119
2006-02-22,21.22,21.22,21.02,21.04,3762298
2006-02-23,21.56,21.74,21.24,21.26,7033618
2006-02-24,21.51,21.72,21.41,21.61,2933843
2006-02-27,21.91,22.00,21.47,21.47,4910335
2006-02-28,21.56,21.86,21.53,21.71,3259018
2006-03-01,21.98,21.98,21.62,21.62,2668083
2006-03-02,21.75,21.92,21.68,21.89,2916787
2006-03-03,21.69,21.92,21.58,21.60,2123981
2006-03-06,21.66,21.76,21.48,21.68,2164943
2006-03-07,21.77,21.83,21.50,21.56,3846877
2006-03-08,21.89,22.05,21.68,21.77,3577482
2006-03-09,21.68,22.03,21.66,22.00,4092785
2006-03-10,21.78,21.89,21.41,21.68,2974105
2006-03-13,22.11,22.14,21.80,21.80,4551469
2006-03-14,22.06,22.13,21.83,22.05,4287946
2006-03-15,22.47,22.51,21.81,21.95,5612411
2006-03-16,22.60,22.75,22.44,22.44,5037274
2006-03-17,22.71,22.84,22.53,22.60,7066051
2006-03-20,22.59,22.69,22.38,22.68,2414905
2006-03-21,22.23,22.59,22.16,22.51,3594817
2006-03-22,22.22,22.26,22.04,22.20,4593409
