Date,Close,High,Low,Open,Volume
,DD,DD,DD,DD,DD
2005-10-20,33.78,34.82,33.66,33.81,3460061
2005-10-21,34.45,34.72,33.79,34.10,3531305
2005-10-24,35.17,35.25,34.62,34.63,2195789
2005-10-25,34.84,35.44,34.30,35.17,2542807
2005-10-26,35.61,36.05,34.83,34.84,5421811
2005-10-27,35.88,36.91,35.49,36.91,4736347
2005-10-28,36.39,36.51,35.84,36.36,4550156
2005-10-31,36.41,36.72,36.39,36.52,2875000
2005-11-01,36.03,36.49,36.03,36.49,3430692
2005-11-02,35.99,36.65,35.49,36.65,3466665
2005-11-03,35.91,36.48,35.71,36.11,2948844
2005-11-04,36.15,36.38,35.84,36.10,2445215
2005-11-07,36.01,36.15,35.95,36.12,2616651
2005-11-08,36.12,36.15,35.74,35.88,2043112
2005-11-09,36.15,36.51,36.09,36.30,2114497
2005-11-10,37.22,37.30,36.13,36.20,3608592
2005-11-11,37.47,37.48,36.78,37.30,2432006
2005-11-14,36.99,37.45,36.87,37.38,2547093
2005-11-15,36.72,37.17,36.65,37.08,2012057
2005-11-16,35.61,36.68,35.48,36.56,4956193
2005-11-17,36.36,36.46,35.64,35.82,4079480
2005-11-18,36.80,37.33,36.15,36.64,2930997
2005-11-21,36.25,36.84,36.22,36.80,3199745
2005-11-22,36.71,36.78,35.91,36.34,2656137
2005-11-23,36.41,36.74,36.36,36.53,1441610
2005-11-25,36.40,36.76,36.30,36.65,732117
2005-11-28,36.17,36.44,36.04,36.44,2572527
2005-11-29,36.71,36.81,36.08,36.16,2893830
2005-11-30,35.92,36.99,35.88,36.84,3587373
2005-12-01,35.68,35.71,35.06,35.53,5689505
2005-12-02,35.36,35.84,35.36,35.68,3322069
2005-12-05,35.21,35.28,34.93,35.11,5053575
2005-12-06,35.74,36.14,35.45,35.65,3833356
2005-12-07,35.51,35.73,35.28,35.62,2262185
2005-12-08,35.41,35.72,35.29,35.32,2558475
2005-12-09,35.43,35.59,35.00,35.59,2377483
2005-12-12,35.52,35.57,35.17,35.42,1869498
2005-12-13,35.80,35.88,35.22,35.33,3341039
2005-12-14,35.75,36.00,35.49,35.68,5703206
2005-12-15,35.39,36.10,35.37,35.87,2805301
2005-12-16,34.71,35.53,34.31,35.52,5491440
2005-12-19,34.64,35.12,34.45,34.61,3149860
2005-12-20,34.34,34.91,34.26,34.64,3118734
2005-12-21,34.71,34.82,34.30,34.42,3400339
2005-12-22,35.02,35.34,34.74,34.85,2225790
2005-12-23,35.41,35.45,34.98,35.03,1561756
2005-12-27,35.09,35.80,35.02,35.55,1961118
2005-12-28,35.37,35.52,35.05,35.09,1591547
2005-12-29,35.33,35.74,35.25,35.25,1521988
2005-12-30,35.05,35.28,34.85,35.08,1501753
2006-01-03,35.14,35.32,34.64,35.25,3539526
2006-01-04,34.74,35.16,34.54,35.12,5007203
2006-01-05,35.65,35.69,34.78,34.79,4974742
2006-01-06,35.94,36.12,35.59,36.00,3984768
2006-01-09,35.64,35.93,35.53,35.89,3999874
2006-01-10,35.66,35.79,35.25,35.56,4042944
2006-01-11,35.32,35.71,35.18,35.20,3802582
2006-01-12,34.69,35.22,34.62,35.20,4467741
2006-01-13,34.53,35.05,34.41,34.81,2568874
2006-01-17,34.09,34.44,33.93,34.36,3292770
2006-01-18,33.82,34.14,33.61,33.92,3147401
2006-01-19,34.00,34.10,33.43,33.96,4097677
2006-01-20,33.49,34.00,33.28,34.00,3567841
2006-01-23,33.94,34.29,33.56,33.68,4108638
2006-01-24,34.03,34.27,33.84,34.00,3485285
2006-01-25,34.65,35.16,34.34,34.38,5294358
2006-01-26,34.46,34.80,34.24,34.64,5710583
2006-01-27,33.74,34.56,33.52,34.47,5375088
2006-01-30,33.98,34.13,33.61,33.81,4598285
2006-01-31,33.84,34.28,33.80,34.01,3191314
2006-02-01,33.85,33.93,33.43,33.82,3617656
2006-02-02,33.49,34.03,33.45,33.85,3380596
2006-02-03,33.04,33.49,32.96,33.40,3789935
2006-02-06,32.83,33.20,32.60,33.04,3689041
2006-02-07,32.60,33.19,32.40,32.68,3309773
2006-02-08,32.53,32.72,32.21,32.56,4040344
2006-02-09,33.12,33.81,32.64,32.68,5975677
2006-02-10,33.61,33.84,32.77,33.24,4006690
2006-02-13,33.66,33.86,33.44,33.69,3170516
2006-02-14,34.25,34.40,33.50,33.57,4412867
2006-02-15,34.73,34.77,34.06,34.12,3164474
2006-02-16,35.18,35.28,34.82,34.86,3462450
2006-02-17,35.04,35.44,34.85,35.16,2444934
2006-02-21,34.80,35.21,34.56,35.18,2204572
2006-02-22,34.54,35.01,34.46,34.83,3091192
2006-02-23,34.63,34.86,34.25,34.48,3363452
2006-02-24,34.74,34.88,34.40,34.61,2880339
2006-02-27,34.85,35.16,34.80,34.80,2656910
2006-02-28,34.42,34.92,34.42,34.85,3214921
2006-03-01,35.17,35.36,34.52,34.52,2683820
2006-03-02,34.95,35.05,34.65,34.85,3193281
2006-03-03,34.93,35.09,34.73,34.77,2634146
2006-03-06,34.45,35.11,34.28,35.01,3464839
2006-03-07,34.24,34.63,34.09,34.49,3197707
2006-03-08,34.05,34.25,33.51,34.25,3212321
2006-03-09,34.05,34.33,33.97,34.16,2261131
2006-03-10,34.23,34.31,33.60,33.64,3083463
2006-03-13,34.07,34.51,34.01,34.41,2398140
2006-03-14,34.50,34.63,34.13,34.14,3367176
2006-03-15,34.90,35.20,34.65,35.13,3783963
2006-03-16,35.08,35.36,34.88,35.04,3760847
2006-03-17,34.94,35.20,34.73,35.08,3591870
2006-03-20,34.49,34.88,34.24,34.88,3222931
2006-03-21,34.10,34.41,34.01,34.37,3158502
2006-03-22,34.21,34.25,33.65,33.65,3461958
2006-03-23,33.97,34.21,33.80,34.20,2446550
2006-03-24,33.80,34.00,33.73,33.98,2724712
2006-03-27,33.78,33.94,33.77,33.94,2324998
2006-03-28,33.34,33.85,33.29,33.80,4600533
2006-03-29,33.25,33.97,33.10,33.97,4766138
2006-03-30,33.18,33.53,33.08,33.35,3153654
