Date,Close,High,Low,Open,Volume
,GE,GE,GE,GE,GE
2005-10-20,99.40,101.10,98.99,101.10,4263196
2005-10-21,98.96,99.95,98.72,99.60,4695648
2005-10-24,100.13,100.16,99.04,99.04,3446889
2005-10-25,99.48,100.13,98.66,99.78,3907824
2005-10-26,98.87,100.33,98.84,99.69,4499464
2005-10-27,98.52,98.84,98.02,98.66,3590490
2005-10-28,99.89,100.01,98.34,98.81,4510127
2005-10-31,99.48,100.16,99.28,99.75,5443681
2005-11-01,98.57,99.69,98.43,99.66,4302633
2005-11-02,99.19,99.66,98.31,98.57,4780595
2005-11-03,99.69,100.19,99.16,99.45,3754499
2005-11-04,99.81,100.04,99.01,99.69,3475851
2005-11-07,99.81,100.13,99.60,100.04,3107521
2005-11-08,99.04,99.60,98.96,99.40,3092435
2005-11-09,99.51,100.19,98.90,99.31,3723679
2005-11-10,101.22,101.92,99.51,99.66,6067163
2005-11-11,101.66,102.04,100.92,101.36,2881060
2005-11-14,100.92,101.68,100.63,101.68,2967655
2005-11-15,100.92,101.57,100.60,100.95,3123922
2005-11-16,101.33,101.83,100.77,100.89,3438480
2005-11-17,101.68,102.01,100.92,101.45,3363716
2005-11-18,104.88,105.03,103.42,104.03,12345409
2005-11-21,106.20,106.61,104.59,104.91,7071892
2005-11-22,105.79,106.29,105.29,105.76,5369251
2005-11-23,105.44,106.03,105.35,105.76,3657533
2005-11-25,106.20,106.26,105.38,105.62,1946963
2005-11-28,105.56,106.20,105.44,106.20,3903671
2005-11-29,105.41,106.29,105.20,106.00,4871321
2005-11-30,104.79,106.09,104.79,105.47,5073076
2005-12-01,104.88,105.32,104.56,105.18,4450429
2005-12-02,104.15,104.88,103.44,104.88,5308906
2005-12-05,104.94,105.20,103.86,103.91,5041777
2005-12-06,105.03,105.91,104.79,105.32,5533260
2005-12-07,104.35,105.18,103.88,105.03,5892805
2005-12-08,103.71,104.62,103.47,104.35,4541405
2005-12-09,104.24,105.03,103.68,103.94,3640757
2005-12-12,104.30,104.82,104.00,104.62,2871378
2005-12-13,104.06,104.68,103.71,104.15,5297784
2005-12-14,104.94,105.29,104.30,104.65,4570242
2005-12-15,105.62,106.09,104.94,105.44,7100834
2005-12-16,105.79,106.38,105.67,105.70,7241263
2005-12-19,105.09,105.94,104.59,105.62,4397136
2005-12-20,104.27,104.85,103.80,104.65,4383761
2005-12-21,103.62,104.62,103.42,104.62,4767553
2005-12-22,104.65,104.77,103.92,103.92,3647142
2005-12-23,104.65,105.10,104.57,105.07,2234646
2005-12-27,103.59,105.19,103.50,105.10,3561465
2005-12-28,103.74,103.89,103.27,103.59,3504584
2005-12-29,103.98,104.74,103.71,103.74,3368119
2005-12-30,103.56,104.06,103.35,103.77,3769001
2006-01-03,104.51,104.60,102.82,103.71,6932005
2006-01-04,104.36,104.60,103.71,104.45,5011458
2006-01-05,104.09,104.45,103.71,104.21,3934887
2006-01-06,104.80,104.98,103.98,104.54,4608094
2006-01-09,104.54,104.68,104.12,104.60,4322644
2006-01-10,103.98,104.33,103.56,104.21,4390584
2006-01-11,104.68,105.04,103.71,103.83,4672862
2006-01-12,103.41,104.77,103.24,104.74,4623743
2006-01-13,103.71,104.15,102.82,103.12,3592452
