Date,Close,High,Low,Open,Volume
,SU,SU,SU,SU,SU
2005-10-20,15.15,16.17,15.04,16.04,10079600
2005-10-21,15.21,15.56,14.85,15.04,9204600
2005-10-24,15.50,15.60,14.96,14.96,7161200
2005-10-25,16.03,16.09,15.63,15.83,7405000
2005-10-26,15.89,16.57,15.83,16.06,7238600
2005-10-27,15.84,16.21,15.47,16.12,5768000
2005-10-28,16.37,16.37,15.63,16.03,5910200
2005-10-31,16.33,16.75,16.20,16.37,5000600
2005-11-01,16.39,16.59,16.05,16.29,3835600
2005-11-02,16.77,16.79,16.15,16.17,5718200
2005-11-03,17.54,17.65,16.96,17.00,7107200
2005-11-04,17.25,17.37,17.04,17.05,6223200
2005-11-07,16.56,17.35,16.55,17.25,5576800
2005-11-08,16.94,17.14,16.55,16.60,5299000
2005-11-09,16.72,17.24,16.67,16.86,5397200
2005-11-10,15.79,16.59,15.74,16.53,7797400
2005-11-11,16.10,16.13,15.67,15.83,5524200
2005-11-14,16.00,16.40,15.88,16.33,3986600
2005-11-15,16.19,16.46,15.89,16.00,5353000
2005-11-16,16.72,16.72,16.11,16.25,4379800
2005-11-17,16.61,17.04,16.58,17.00,4361600
2005-11-18,16.58,16.69,16.29,16.64,3682800
2005-11-21,17.03,17.07,16.71,16.83,3926800
2005-11-22,17.54,17.63,17.14,17.31,4052200
2005-11-23,17.45,17.69,17.28,17.49,3352800
2005-11-25,17.79,17.80,17.60,17.65,1239600
2005-11-28,17.17,17.75,17.02,17.66,5674400
2005-11-29,17.26,17.56,17.23,17.26,4533000
2005-11-30,17.32,17.56,17.13,17.26,4625400
2005-12-01,17.72,17.77,17.31,17.35,5084400
2005-12-02,18.05,18.11,17.81,17.90,4721600
2005-12-05,18.28,18.48,18.09,18.27,4882600
2005-12-06,18.79,18.86,18.22,18.27,5071200
2005-12-07,19.07,19.29,18.91,18.98,8986000
2005-12-08,19.58,19.63,19.12,19.30,6158000
2005-12-09,19.32,19.72,19.28,19.40,4714800
2005-12-12,19.57,19.63,19.37,19.61,4753600
2005-12-13,19.87,20.11,19.57,19.75,5194000
2005-12-14,19.92,20.09,19.68,19.85,5747600
2005-12-15,19.77,19.86,19.53,19.68,4031600
2005-12-16,19.35,19.89,19.32,19.71,4352800
2005-12-19,19.12,19.65,19.08,19.43,3265200
2005-12-20,19.24,19.26,18.98,19.13,2567200
2005-12-21,19.17,19.41,19.09,19.32,2543000
2005-12-22,19.26,19.45,19.16,19.35,2354800
2005-12-23,19.21,19.36,18.99,19.14,2448400
2005-12-27,18.57,19.21,18.10,19.21,5089400
2005-12-28,19.24,19.27,18.63,18.69,3709800
2005-12-29,19.23,19.41,19.04,19.16,3043400
2005-12-30,19.23,19.35,19.03,19.15,2590200
2006-01-03,19.96,20.03,19.36,19.40,5568200
2006-01-04,20.16,20.19,19.59,19.96,4023400
2006-01-05,19.68,20.03,19.49,20.03,4247600
2006-01-06,20.30,20.57,19.81,19.96,4706000
2006-01-09,20.04,20.35,19.83,20.30,3770600
2006-01-10,20.34,20.42,20.01,20.04,3405600
2006-01-11,20.44,20.61,20.02,20.35,3777400
2006-01-12,19.96,20.85,19.91,20.56,5560200
2006-01-13,20.56,20.60,19.81,19.81,4572400
2006-01-17,21.30,21.30,20.89,21.04,3863400
2006-01-18,20.90,21.37,20.59,21.27,6906600
2006-01-19,21.38,21.56,20.90,20.90,3477600
2006-01-20,22.14,22.33,21.50,21.69,6151800
2006-01-23,22.85,23.15,22.20,22.39,7994200
2006-01-24,22.72,23.10,22.44,22.68,5888200
2006-01-25,22.09,22.98,21.93,22.77,6290600
2006-01-26,23.28,23.31,21.80,22.70,9633200
2006-01-27,23.99,24.18,23.58,23.72,6236200
2006-01-30,24.16,24.29,23.73,23.87,7999000
2006-01-31,24.38,24.50,23.98,24.07,5084800
2006-02-01,24.25,25.03,24.16,24.40,7847600
2006-02-02,24.02,24.11,23.38,24.07,8068400
2006-02-03,23.86,24.02,23.51,24.02,4123800
2006-02-06,24.60,24.78,24.27,24.42,5763000
2006-02-07,23.10,24.13,22.99,24.13,6259800
2006-02-08,23.37,23.49,22.13,23.05,7677200
2006-02-09,22.80,24.01,22.78,23.70,6528400
2006-02-10,22.12,23.06,21.88,22.92,9485200
2006-02-13,21.74,22.24,21.57,22.07,5417200
2006-02-14,22.01,22.23,21.02,21.49,6580000
2006-02-15,21.63,22.40,21.50,22.35,5841200
2006-02-16,22.44,22.61,21.88,21.97,5381200
2006-02-17,22.63,22.98,22.30,22.98,5511400
2006-02-21,23.33,23.64,23.13,23.46,5329400
2006-02-22,22.85,23.15,22.62,23.15,3804000
2006-02-23,22.89,23.08,22.61,22.75,4172600
2006-02-24,23.42,23.68,23.20,23.35,5086800
2006-02-27,22.85,23.51,22.84,23.25,4653400
2006-02-28,22.77,22.88,22.33,22.73,5967400
2006-03-01,23.35,23.57,22.83,22.87,5180200
2006-03-02,24.03,24.12,23.39,23.52,5265600
2006-03-03,23.87,24.21,23.72,23.89,4568800
2006-03-06,23.10,23.90,23.00,23.72,5137800
2006-03-07,22.52,23.02,22.14,23.02,6186200
2006-03-08,21.43,22.33,21.25,22.15,11961400
2006-03-09,21.68,22.06,21.48,21.68,6001400
2006-03-10,22.27,22.36,21.53,21.83,6326400
2006-03-13,22.83,22.93,22.30,22.36,5116400
2006-03-14,23.15,23.24,22.44,22.84,4716600
2006-03-15,23.21,23.38,22.93,22.99,4283000
2006-03-16,23.38,23.46,22.87,23.04,4685800
2006-03-17,22.61,23.38,22.59,23.38,4951600
2006-03-20,21.98,22.73,21.91,22.38,5097800
2006-03-21,22.48,22.66,21.74,21.88,5918400
2006-03-22,22.65,22.90,22.35,22.41,4685400
2006-03-23,23.03,23.22,22.58,22.86,3973200
2006-03-24,23.04,23.28,22.98,23.02,2968600
2006-03-27,22.85,23.15,22.56,22.87,3309600
2006-03-28,23.00,23.44,22.91,23.12,4529400
2006-03-29,23.45,23.59,22.91,22.97,3528200
2006-03-30,23.87,24.05,23.55,23.63,4613200
2006-03-31,23.48,23.66,23.10,23.55,4028000
2006-04-03,24.03,24.34,23.63,23.78,4829400
2006-04-04,24.19,24.25,23.72,23.96,5012200
2006-04-05,24.95,25.00,24.16,24.18,4242000
2006-04-06,24.97,25.46,24.74,25.26,4646800
2006-04-07,24.91,25.17,24.63,24.84,3844800
2006-04-10,25.20,25.69,25.19,25.35,4859000
2006-04-11,24.92,25.61,24.81,25.55,5180200
2006-04-12,25.15,25.21,24.84,25.08,3470800
2006-04-13,25.28,25.38,24.77,24.99,3133200
2006-04-17,26.11,26.13,25.61,25.70,3938200
2006-04-18,26.90,27.11,26.16,26.29,6511200
2006-04-19,27.13,27.40,26.62,26.90,4878200
2006-04-20,26.52,27.02,25.91,26.99,6586000
2006-04-21,27.09,27.14,26.56,26.56,3710200
2006-04-24,26.43,26.98,26.31,26.98,4853000
2006-04-25,26.30,26.98,25.96,26.77,5591200
2006-04-26,25.63,26.67,25.53,26.52,5141600
2006-04-27,25.68,26.01,25.00,25.53,4759600
2006-04-28,26.14,26.42,25.91,25.91,4468600
2006-05-01,26.68,26.92,26.46,26.60,4985000
2006-05-02,27.22,27.22,26.77,26.91,3550800
2006-05-03,26.81,27.31,26.51,27.22,4766400
2006-05-04,26.52,26.95,26.07,26.27,4872800
2006-05-05,26.51,26.80,26.46,26.77,2864000
2006-05-08,26.19,26.38,25.79,26.26,4033600
2006-05-09,26.89,27.21,26.19,26.24,5294600
2006-05-10,26.72,26.88,26.31,26.82,4947400
2006-05-11,26.84,27.20,26.61,27.12,7056800
2006-05-12,25.53,26.70,25.49,26.63,5982800
2006-05-15,24.24,24.86,23.84,24.86,8717000
2006-05-16,24.51,24.69,23.95,24.45,5259400
2006-05-17,23.70,24.65,23.54,24.50,5818600
2006-05-18,23.28,23.82,23.20,23.60,5879200
2006-05-19,23.49,23.85,22.71,22.94,7697200
2006-05-22,23.10,23.33,22.02,23.02,7471400
2006-05-23,23.85,24.62,23.52,23.53,8490000
2006-05-24,23.22,23.72,22.66,23.45,8200400
2006-05-25,24.48,24.62,23.70,23.84,6441000
2006-05-26,24.58,24.63,24.13,24.50,4334600
