Date,Close,High,Low,Open,Volume
,T,T,T,T,T
2005-10-20,4.15,4.26,4.15,4.23,28382323
2005-10-21,4.24,4.28,4.22,4.24,30298548
2005-10-24,4.35,4.35,4.26,4.27,27454994
2005-10-25,4.37,4.38,4.33,4.33,17829646
2005-10-26,4.36,4.39,4.35,4.37,16282287
2005-10-27,4.37,4.38,4.35,4.36,14872360
2005-10-28,4.40,4.41,4.33,4.34,15302660
2005-10-31,4.39,4.42,4.37,4.39,22829864
2005-11-01,4.38,4.40,4.35,4.40,24320159
2005-11-02,4.41,4.42,4.38,4.40,14595114
2005-11-03,4.33,4.43,4.30,4.43,30055594
2005-11-04,4.36,4.37,4.30,4.35,13814616
2005-11-07,4.31,4.36,4.30,4.36,16927737
2005-11-08,4.35,4.37,4.30,4.31,14405517
2005-11-09,4.35,4.37,4.33,4.34,12613218
2005-11-10,4.40,4.42,4.34,4.35,14382347
2005-11-11,4.41,4.42,4.39,4.40,19601158
2005-11-14,4.41,4.44,4.40,4.42,15392956
2005-11-15,4.40,4.44,4.38,4.41,27307368
2005-11-16,4.39,4.43,4.38,4.40,20900267
2005-11-17,4.45,4.47,4.38,4.38,14225188
2005-11-18,4.49,4.53,4.47,4.47,26255450
2005-11-21,4.49,4.51,4.42,4.48,24564172
2005-11-22,4.56,4.58,4.49,4.49,27387867
2005-11-23,4.55,4.58,4.54,4.55,16099708
2005-11-25,4.56,4.60,4.54,4.55,6879769
2005-11-28,4.62,4.67,4.56,4.60,31893439
2005-11-29,4.62,4.70,4.61,4.65,22089748
2005-11-30,4.59,4.67,4.57,4.60,25824885
2005-12-01,4.66,4.70,4.61,4.63,18480260
2005-12-02,4.62,4.67,4.61,4.66,18667606
2005-12-05,4.66,4.69,4.62,4.62,25151631
2005-12-06,4.64,4.72,4.63,4.72,23736275
2005-12-07,4.62,4.65,4.58,4.63,13588080
2005-12-08,4.58,4.64,4.55,4.61,17061858
2005-12-09,4.59,4.61,4.56,4.61,10221280
2005-12-12,4.58,4.60,4.56,4.58,12103876
2005-12-13,4.61,4.63,4.54,4.55,17478521
2005-12-14,4.58,4.61,4.56,4.61,13669638
2005-12-15,4.58,4.59,4.55,4.58,19466242
2005-12-16,4.60,4.65,4.57,4.60,20742446
2005-12-19,4.58,4.60,4.55,4.56,13721539
2005-12-20,4.54,4.56,4.52,4.54,16560327
2005-12-21,4.51,4.56,4.48,4.52,18630401
2005-12-22,4.53,4.55,4.48,4.48,15830671
2005-12-23,4.54,4.56,4.51,4.53,9268132
2005-12-27,4.54,4.57,4.53,4.57,11019122
2005-12-28,4.54,4.56,4.53,4.56,14171302
2005-12-29,4.54,4.58,4.53,4.54,11976374
2005-12-30,4.51,4.52,4.47,4.51,14551290
2006-01-03,4.55,4.58,4.47,4.51,21648062
2006-01-04,4.59,4.62,4.54,4.54,19628035
2006-01-05,4.60,4.62,4.59,4.59,14303040
2006-01-06,4.68,4.70,4.61,4.65,15626642
2006-01-09,4.69,4.71,4.63,4.65,23881915
2006-01-10,4.67,4.69,4.64,4.68,14184542
2006-01-11,4.70,4.71,4.64,4.67,15094130
2006-01-12,4.68,4.73,4.67,4.71,17361612
2006-01-13,4.69,4.70,4.65,4.69,13422315
2006-01-17,4.66,4.67,4.62,4.65,12051842
2006-01-18,4.66,4.67,4.63,4.63,16474400
2006-01-19,4.67,4.69,4.66,4.66,13699163
2006-01-20,4.64,4.67,4.62,4.64,17909880
2006-01-23,4.59,4.64,4.58,4.63,14482044
2006-01-24,4.63,4.69,4.60,4.60,13239470
2006-01-25,4.73,4.73,4.60,4.60,20644205
2006-01-26,4.79,4.81,4.74,4.76,20704844
2006-01-27,4.86,4.88,4.79,4.81,21314679
2006-01-30,4.89,4.91,4.85,4.85,17346783
2006-01-31,4.87,4.92,4.85,4.89,21407491
2006-02-01,4.98,4.99,4.86,4.88,24662016
2006-02-02,4.97,5.02,4.93,5.02,19779236
2006-02-03,5.03,5.05,4.95,4.97,28860287
2006-02-06,5.07,5.09,5.02,5.03,23782880
2006-02-07,5.05,5.10,5.02,5.09,18755387
2006-02-08,5.09,5.09,5.00,5.05,18042942
2006-02-09,5.09,5.14,5.07,5.12,18766641
2006-02-10,5.15,5.18,5.07,5.07,21814754
2006-02-13,5.19,5.22,5.15,5.18,22098619
2006-02-14,5.31,5.41,5.19,5.19,30531440
2006-02-15,5.31,5.33,5.24,5.27,18699911
2006-02-16,5.34,5.37,5.29,5.35,18705340
2006-02-17,5.30,5.36,5.28,5.35,20936015
2006-02-21,5.28,5.34,5.28,5.30,18361894
2006-02-22,5.30,5.32,5.26,5.32,12570188
2006-02-23,5.24,5.29,5.21,5.28,14836082
2006-02-24,5.17,5.27,5.14,5.24,17443832
2006-02-27,5.21,5.25,5.15,5.16,15651004
2006-02-28,5.18,5.21,5.17,5.19,13808658
2006-03-01,5.27,5.29,5.18,5.18,17814817
2006-03-02,5.30,5.33,5.24,5.27,19432745
