iter	MultiClass
0	1.053845563
1	1.014554544
2	0.9796752144
3	0.9489364733
4	0.9213050906
5	0.896598833
6	0.8740494236
7	0.8539569262
8	0.835683722
9	0.818777335
10	0.8034710452
11	0.7896885474
12	0.7769407998
13	0.7652947845
14	0.754658459
15	0.7450830683
16	0.735790285
17	0.7273378519
18	0.7193831886
19	0.7116358192
20	0.7049042891
21	0.6985217532
22	0.6924310158
23	0.6872921771
24	0.6825439238
25	0.6782796869
26	0.6736778287
27	0.6691198097
28	0.6649875531
29	0.6610863284
30	0.6577456238
31	0.6550367852
32	0.651667714
33	0.648794429
34	0.6461963456
35	0.6436368777
36	0.6407375404
37	0.6381676913
38	0.6358903018
39	0.6338545899
40	0.6318063808
41	0.6299926419
42	0.6277526777
43	0.6253551437
44	0.6238319469
45	0.6224699566
46	0.6211534586
47	0.6196440814
48	0.6182883066
49	0.6169312094
50	0.6160737334
51	0.6152199603
52	0.6135152574
53	0.6120507112
54	0.6109319193
55	0.6093904065
56	0.608365773
57	0.6074855509
58	0.6067073558
59	0.605736017
60	0.6045817173
61	0.6032601278
62	0.602030118
63	0.6011827588
64	0.6001055579
65	0.5990440942
66	0.5982976378
67	0.5970398565
68	0.5960464328
69	0.5954760605
70	0.5945088213
71	0.5937944343
72	0.5931587992
73	0.592157044
74	0.5915679591
75	0.5903839043
76	0.5898272194
77	0.5888211002
78	0.5880210846
79	0.5871066111
80	0.586398638
81	0.5859059596
82	0.5853590608
83	0.5843150534
84	0.5834372778
85	0.5829787847
86	0.5822767627
87	0.5813999789
88	0.5805958638
89	0.5792652817
90	0.5782462686
91	0.577388462
92	0.5763912693
93	0.5758532309
94	0.5752071484
95	0.5744009835
96	0.5735032389
97	0.5724975164
98	0.5718156617
99	0.5712655229
100	0.5703023171
101	0.5696248926
102	0.5691420003
103	0.5687732354
104	0.5683494566
105	0.5675588305
106	0.5668540312
107	0.5658512181
108	0.5654072059
109	0.564551383
110	0.5634367568
111	0.5623188906
112	0.5618700514
113	0.5610820701
114	0.5601082848
115	0.5593841117
116	0.5587701647
117	0.5581216357
118	0.5575416095
119	0.5571231205
120	0.556162758
121	0.5554117392
122	0.5547097833
123	0.5542634237
124	0.5537471065
125	0.5531725354
126	0.5527799664
127	0.5523179689
128	0.5517624411
129	0.5509721786
130	0.5505249924
131	0.5497923226
132	0.5494789683
133	0.5490129373
134	0.5487214034
135	0.5480593192
136	0.5470233457
137	0.5463912812
138	0.5461470579
139	0.5456986485
140	0.5449606228
141	0.5440893272
142	0.5432676896
143	0.5426567181
144	0.5420335802
145	0.5414034993
146	0.5408703209
147	0.5403733115
148	0.5399910245
149	0.5393983359
150	0.5389858641
151	0.5380847804
152	0.5373796505
153	0.5366847035
154	0.5359207909
155	0.5353105798
156	0.5350872843
157	0.5346416851
158	0.5342475291
159	0.5338951626
160	0.5334377936
161	0.5327747507
162	0.5321282715
163	0.5315314833
164	0.5307756045
165	0.530184073
166	0.5299613395
167	0.5293584681
168	0.5289452358
169	0.5282744235
170	0.5278724651
171	0.5271709059
172	0.5265764981
173	0.5262538536
174	0.5257601503
175	0.5253277425
176	0.5248144339
177	0.5245312315
178	0.5238434588
179	0.5233597069
180	0.5226053489
181	0.5221138938
182	0.5214120701
183	0.5208235472
184	0.5198440753
185	0.5193447516
186	0.5186954291
187	0.518151043
188	0.5177418111
189	0.5174605262
190	0.5170719907
191	0.5164093445
192	0.5160589947
193	0.515611511
194	0.5150735387
195	0.5147841869
196	0.5139811628
197	0.5132939521
198	0.5124684464
199	0.5119780492
