iter	Passed	Remaining
0	86	17229
1	169	16803
2	252	16580
3	346	16998
4	433	16896
5	531	17193
6	617	17014
7	712	17108
8	809	17172
9	891	16946
10	962	16538
11	1043	16354
12	1118	16089
13	1203	15985
14	1285	15850
15	1367	15725
16	1452	15640
17	1534	15520
18	1629	15521
19	1724	15517
20	1798	15328
21	1884	15246
22	1968	15148
23	2054	15067
24	2135	14951
25	2224	14889
26	2318	14858
27	2401	14750
28	2489	14677
29	2567	14549
30	2651	14452
31	2732	14346
32	2823	14289
33	2904	14178
34	2985	14076
35	3067	13973
36	3158	13913
37	3241	13819
38	3329	13746
39	3419	13677
40	3507	13603
41	3594	13522
42	3685	13455
43	3776	13388
44	3856	13283
45	3939	13188
46	4014	13069
47	4097	12976
48	4168	12845
49	4242	12726
50	4328	12645
51	4413	12562
52	4512	12516
53	4606	12453
54	4680	12340
55	4775	12278
56	4854	12179
57	4937	12088
58	5013	11980
59	5097	11895
60	5194	11836
61	5274	11740
62	5357	11651
63	5441	11563
64	5515	11455
65	5587	11343
66	5661	11237
67	5747	11157
68	5830	11069
69	5909	10973
70	5998	10899
71	6080	10809
72	6159	10715
73	6231	10610
74	6314	10524
75	6391	10428
76	6466	10329
77	6547	10240
78	6617	10136
79	6692	10038
80	6775	9953
81	6854	9863
82	6931	9770
83	7023	9698
84	7094	9598
85	7170	9505
86	7248	9414
87	7320	9316
88	7396	9224
89	7482	9145
90	7575	9073
91	7668	9002
92	7752	8919
93	7829	8828
94	7902	8733
95	7986	8652
96	8087	8587
97	8171	8505
98	8262	8429
99	8340	8340
100	8417	8250
101	8508	8174
102	8600	8099
103	8666	7999
104	8743	7911
105	8830	7831
106	8901	7736
107	8996	7664
108	9082	7582
109	9162	7496
110	9247	7414
111	9336	7335
112	9412	7247
113	9497	7164
114	9586	7085
115	9682	7011
116	9774	6933
117	9860	6852
118	9951	6773
119	10039	6692
120	10125	6610
121	10192	6516
122	10293	6443
123	10363	6352
124	10444	6266
125	10526	6182
126	10604	6095
127	10695	6016
128	10779	5932
129	10848	5841
130	10937	5761
131	11029	5681
132	11105	5594
133	11195	5514
134	11275	5428
135	11351	5341
136	11434	5258
137	11518	5174
138	11589	5086
139	11667	5000
140	11752	4917
141	11844	4837
142	11932	4756
143	12021	4675
144	12096	4588
145	12188	4507
146	12268	4423
147	12351	4339
148	12439	4257
149	12508	4169
150	12600	4088
151	12693	4008
152	12773	3923
153	12864	3842
154	12953	3760
155	13031	3675
156	13114	3591
157	13195	3507
158	13287	3426
159	13367	3341
160	13443	3256
161	13533	3174
162	13628	3093
163	13725	3013
164	13812	2929
165	13892	2845
166	13956	2757
167	14029	2672
168	14111	2588
169	14207	2507
170	14297	2424
171	14380	2341
172	14469	2258
173	14565	2176
174	14640	2091
175	14727	2008
176	14810	1924
177	14893	1840
178	14977	1757
179	15063	1673
180	15160	1591
181	15255	1508
182	15343	1425
183	15428	1341
184	15523	1258
185	15604	1174
186	15689	1090
187	15777	1007
188	15856	922
189	15939	838
190	16015	754
191	16111	671
192	16187	587
193	16268	503
194	16342	419
195	16428	335
196	16515	251
197	16611	167
198	16707	83
199	16780	0
